docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title
uc2.ark+=13960=t8rb6wm87_1,uc2.ark+=13960=t8rb6wm87,46062,random,"Arthur, T. S",,Philadelphia;Hubbard Brothers;1888.,1888,1888,,,,"The mother's rule, or, The right way and the wrong way"
uc2.ark+=13960=t8rb6wm87_0,uc2.ark+=13960=t8rb6wm87,47883,random,"Arthur, T. S",,Philadelphia;Hubbard Brothers;1888.,1888,1888,,,,"The mother's rule, or, The right way and the wrong way"
uva.x001038370_0,uva.x001038370,133158,random,"Auerbach, Berthold",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden
uva.x001038370_3,uva.x001038370,134947,random,"Auerbach, Berthold",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden
uva.x001038370_2,uva.x001038370,130650,random,"Auerbach, Berthold",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden
uva.x001038370_1,uva.x001038370,129877,random,"Auerbach, Berthold",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden
uc2.ark+=13960=t95719531,uc2.ark+=13960=t95719531,42424,random,"Austin, Mary",,Boston;New York;Houghton Mifflin company;c1910,1910,1910,,,,The basket woman; a book of Indian tales for children
hvd.hxg8pp_0,hvd.hxg8pp,58228,random,B anonymous,,London;Printed by W. Flint for R. Evans;1815.,1815,1815,,Allegories,,"The female pilgrim, or, The travels of Hephzibah"
mdp.39015004847813_1,mdp.39015004847813,48149,random,B anonymous,,New York|Century|1928,1928,1928,,"Short stories, American|Thanksgiving Day",Short stories,Thanksgiving day in modern story / | $c: edited by Maud Van Buren and Katharine Isabel Bemis.
njp.32101054938103_2,njp.32101054938103,47219,random,B anonymous,,New York;London;The Colonial Press;c1900,1900,1900,vol.19-20,,,The World's great classics
njp.32101073394577_1,njp.32101073394577,32064,random,B anonymous,,New York;G. W. Dillingham;1888.,1888,1888,,,,Princess Nourmahal
uc2.ark+=13960=t7rn30r8z,uc2.ark+=13960=t7rn30r8z,40769,random,"Bacon, Josephine Daskam",,"New York;McClure, Phillips & Co.;1902.",1902,1902,,,,The madness of Philip
nyp.33433074801238_1,nyp.33433074801238,30836,random,"Baily, Waldron",,New York;Bedford;1918.,1918,1918,,,,When the cock crows
nyp.33433074801238_0,nyp.33433074801238,31013,random,"Baily, Waldron",,New York;Bedford;1918.,1918,1918,,,,When the cock crows
uc2.ark+=13960=t70v8dj10_1,uc2.ark+=13960=t70v8dj10,35912,random,"Baines, William Mortimer",,"London;Sampson Low, Marston, Low & Searle;1874.",1874,1874,,New Zealand;Social life and customs;Description and travel,,"The narrative of Edward Crewe; or, Life in New Zealand"
uc2.ark+=13960=t70v8dj10_0,uc2.ark+=13960=t70v8dj10,36039,random,"Baines, William Mortimer",,"London;Sampson Low, Marston, Low & Searle;1874.",1874,1874,,New Zealand;Social life and customs;Description and travel,,"The narrative of Edward Crewe; or, Life in New Zealand"
njp.32101066477926_1,njp.32101066477926,47136,random,"Ballantine, James",,Edinburgh;J. Menzies;1843.,1843,1843,,,,The gaberlunzie's wallet
njp.32101066477926_2,njp.32101066477926,54065,random,"Ballantine, James",,Edinburgh;J. Menzies;1843.,1843,1843,,,,The gaberlunzie's wallet
njp.32101066477926_0,njp.32101066477926,41630,random,"Ballantine, James",,Edinburgh;J. Menzies;1843.,1843,1843,,,,The gaberlunzie's wallet
uc2.ark+=13960=t6ww7c48b_0,uc2.ark+=13960=t6ww7c48b,57397,random,"Balzac, Honoré de",,Boston;Roberts Brothers;1896.,1896,1837,,,,The gallery of antiquities ;
mdp.39015046392760_0,mdp.39015046392760,58872,random,"Balzac, Honoré de",,New York;D. Appleton & co.;1902,1902,1842,,,,The two young brides;
uc2.ark+=13960=t6ww7c48b_1,uc2.ark+=13960=t6ww7c48b,60503,random,"Balzac, Honoré de",,Boston;Roberts Brothers;1896.,1896,1837,,,,The gallery of antiquities ;
mdp.39015046392760_1,mdp.39015046392760,57196,random,"Balzac, Honoré de",,New York;D. Appleton & co.;1902,1902,1842,,,,The two young brides;
uc1.$b734293_1,uc1.$b734293,65184,random,"Bandello, Matteo",,London;Printed for the Villon Society by private subscription and for private circulation only;1890.,1890,1890,v. 4,,,The novels of Matteo Bandello
uc1.$b734293_0,uc1.$b734293,63617,random,"Bandello, Matteo",,London;Printed for the Villon Society by private subscription and for private circulation only;1890.,1890,1890,v. 4,,,The novels of Matteo Bandello
uc2.ark+=13960=t6057gs0x,uc2.ark+=13960=t6057gs0x,18392,random,"Banning, Pierson Worrall",,Los Angeles;Kitts Press;c1914,1914,1914,,,,"[""One on you""]"
uc1.b248453_1,uc1.b248453,30214,random,"Baring-Gould, S",,"London;Smith, Elder, & Co.;1887.",1887,1887,v. 3,,,The Gaverocks;
uc1.b248453_0,uc1.b248453,31433,random,"Baring-Gould, S",,"London;Smith, Elder, & Co.;1887.",1887,1887,v. 3,,,The Gaverocks;
nyp.33433074828249_0,nyp.33433074828249,39963,random,"Baskett, James Newton",,"New York, London;The Macmillan company;1898.",1898,1898,,,,"""At you-all's house"";"
nyp.33433074828249_1,nyp.33433074828249,40487,random,"Baskett, James Newton",,"New York, London;The Macmillan company;1898.",1898,1898,,,,"""At you-all's house"";"
uc2.ark+=13960=t4cn71p8r_1,uc2.ark+=13960=t4cn71p8r,64433,random,"Bazin, Ren??",,New York and London;Harper & brothers;c1920,1920,1920,,,,Pierre & Joseph
uc2.ark+=13960=t4cn71p8r_0,uc2.ark+=13960=t4cn71p8r,65796,random,"Bazin, Ren??",,New York and London;Harper & brothers;c1920,1920,1920,,,,Pierre & Joseph
uc1.b4669500_1,uc1.b4669500,36097,random,"Becke, Louis",,New York City;New Amsterdam Book Co.;1901.,1901,1901,,,,By rock and pool on an Austral shore
uc1.b4669500_0,uc1.b4669500,39160,random,"Becke, Louis",,New York City;New Amsterdam Book Co.;1901.,1901,1901,,,,By rock and pool on an Austral shore
uc2.ark+=13960=t8pc2vj1r_1,uc2.ark+=13960=t8pc2vj1r,39920,random,"Benecke, Else C. M",,Oxford;B. H. Blackwell;1916.,1916,1916,,Polish fiction;Translations from Polish;Translations into English;English fiction,,More tales by Polish authors
uc2.ark+=13960=t8pc2vj1r_0,uc2.ark+=13960=t8pc2vj1r,39757,random,"Benecke, Else C. M",,Oxford;B. H. Blackwell;1916.,1916,1916,,Polish fiction;Translations from Polish;Translations into English;English fiction,,More tales by Polish authors
mdp.39015015358206_0,mdp.39015015358206,81278,random,"Benson, Robert Hugh",,London;Isbister & co.;1904.,1904,1904,,,,By what authority?
mdp.39015015358206_1,mdp.39015015358206,80634,random,"Benson, Robert Hugh",,London;Isbister & co.;1904.,1904,1904,,,,By what authority?
mdp.39015015358206_2,mdp.39015015358206,79357,random,"Benson, Robert Hugh",,London;Isbister & co.;1904.,1904,1904,,,,By what authority?
uc1.$b85973_0,uc1.$b85973,59997,random,"Beresford, J. D",1873-1947.,Indianapolis|The Bobbs-Merrill Company|c1926,1926,1926,,,NotFiction,"Almost pagan, | $c: by J.D. Beresford ..."
uc1.$b85973_1,uc1.$b85973,58397,random,"Beresford, J. D",1873-1947.,Indianapolis|The Bobbs-Merrill Company|c1926,1926,1926,,,NotFiction,"Almost pagan, | $c: by J.D. Beresford ..."
mdp.39015030223849_0,mdp.39015030223849,39067,random,"Berger, Marcel",,New York;London;G.P. Putnam's sons;1918.,1918,1918,,"World War, 1914-1918;Fiction",,The secret of the Marne;
mdp.39015030223849_1,mdp.39015030223849,37409,random,"Berger, Marcel",,New York;London;G.P. Putnam's sons;1918.,1918,1918,,"World War, 1914-1918;Fiction",,The secret of the Marne;
uc1.b247329_0,uc1.b247329,59019,random,"Besant, Walter",,London;Chatto & Windus;1879?,1879,1879,,,,'Twas in Trafalgar's bay
uc1.b247329_1,uc1.b247329,59274,random,"Besant, Walter",,London;Chatto & Windus;1879?,1879,1879,,,,'Twas in Trafalgar's bay
uc1.b247329_2,uc1.b247329,64838,random,"Besant, Walter",,London;Chatto & Windus;1879?,1879,1879,,,,'Twas in Trafalgar's bay
uiuo.ark+=13960=t06w9ms37,uiuo.ark+=13960=t06w9ms37,37242,random,"Bird, Frederick Spencer",,London;S. Tinsley;1879.,1885,1885,v.3,,,Stonedell Lodge
uc2.ark+=13960=t2z321j88_0,uc2.ark+=13960=t2z321j88,40418,random,"Blackmore, R. D",,n. p. 1887,1887,1887,v.2,,,Springhaven
uiuo.ark+=13960=t2x352b7b_2,uiuo.ark+=13960=t2x352b7b,54315,random,"Blackmore, R. D",,New York;Boston;T.Y. Crowell & Co.;c1893,1893,1869,v.1,"Monmouth's Rebellion, 1685;Fiction",,Lorna Doone
uc2.ark+=13960=t2z321j88_1,uc2.ark+=13960=t2z321j88,40800,random,"Blackmore, R. D",,n. p. 1887,1887,1887,v.2,,,Springhaven
uiuo.ark+=13960=t2x352b7b_1,uiuo.ark+=13960=t2x352b7b,56107,random,"Blackmore, R. D",,New York;Boston;T.Y. Crowell & Co.;c1893,1893,1869,v.1,"Monmouth's Rebellion, 1685;Fiction",,Lorna Doone
uiuo.ark+=13960=t2x352b7b_0,uiuo.ark+=13960=t2x352b7b,54588,random,"Blackmore, R. D",,New York;Boston;T.Y. Crowell & Co.;c1893,1893,1869,v.1,"Monmouth's Rebellion, 1685;Fiction",,Lorna Doone
nyp.33433075738199_0,nyp.33433075738199,68508,random,"Bolanden, Conrad von",,Philadelphia;E. Cummiskey;1867.,1867,1867,,"History;Fiction;Germany;Frederick I, 1152-1190",,Barbarossa
nyp.33433075738199_1,nyp.33433075738199,66888,random,"Bolanden, Conrad von",,Philadelphia;E. Cummiskey;1867.,1867,1867,,"History;Fiction;Germany;Frederick I, 1152-1190",,Barbarossa
nyp.33433074940226_0,nyp.33433074940226,41261,random,"Boothby, Guy Newell",,New York;D. Appleton and Company;1901.,1901,1901,,,,My Indian queen;
nyp.33433074940226_1,nyp.33433074940226,43528,random,"Boothby, Guy Newell",,New York;D. Appleton and Company;1901.,1901,1901,,,,My Indian queen;
uiuo.ark+=13960=t08w3z582_0,uiuo.ark+=13960=t08w3z582,34566,random,"Braddon, M. E",,London;J. Maxwell;1876.,1876,1876,v.2,,,Joshua Haggard's daughter
uiuo.ark+=13960=t08w3z582_1,uiuo.ark+=13960=t08w3z582,34211,random,"Braddon, M. E",,London;J. Maxwell;1876.,1876,1876,v.2,,,Joshua Haggard's daughter
nyp.33433074797907_1,nyp.33433074797907,56689,random,"Brady, Cyrus Townsend",,New York;London;The Macmillan Company;1905.,1905,1905,,"1758-1805;Nelson, Horatio Nelson;1769-1821;I;Emperor of the French;Napoleon;Viscount;Fiction",,The two captains;
nyp.33433074797907_0,nyp.33433074797907,55511,random,"Brady, Cyrus Townsend",,New York;London;The Macmillan Company;1905.,1905,1905,,"1758-1805;Nelson, Horatio Nelson;1769-1821;I;Emperor of the French;Napoleon;Viscount;Fiction",,The two captains;
inu.30000005022805_2,inu.30000005022805,62357,random,Bray,,"London;Longman, Brown, Green, and Longmans;1845.",1845,1845,,"Castro, In????s de;History;Portugal;d. 1355;Fiction;Pedro I, 1357-1367",,The Talba
mdp.39015064003000_0,mdp.39015064003000,59679,random,Bray,,"London;Longman, Brown, Green, and Longmans;1815.",1815,1815,v.9,,,The novels and romances of Anna Eliza Bray
inu.30000005022805_1,inu.30000005022805,64124,random,Bray,,"London;Longman, Brown, Green, and Longmans;1845.",1845,1845,,"Castro, In????s de;History;Portugal;d. 1355;Fiction;Pedro I, 1357-1367",,The Talba
mdp.39015064003000_2,mdp.39015064003000,58584,random,Bray,,"London;Longman, Brown, Green, and Longmans;1815.",1815,1815,v.9,,,The novels and romances of Anna Eliza Bray
mdp.39015064003000_1,mdp.39015064003000,60389,random,Bray,,"London;Longman, Brown, Green, and Longmans;1815.",1815,1815,v.9,,,The novels and romances of Anna Eliza Bray
inu.30000005022805_0,inu.30000005022805,62059,random,Bray,,"London;Longman, Brown, Green, and Longmans;1845.",1845,1845,,"Castro, In????s de;History;Portugal;d. 1355;Fiction;Pedro I, 1357-1367",,The Talba
wu.89099912081_0,wu.89099912081,83116,random,"Bremer, Fredrika",,London;Bohn;1852-1875.,1852,1852,v.3,,,Frederika Bremer's works
wu.89099912081_2,wu.89099912081,84178,random,"Bremer, Fredrika",,London;Bohn;1852-1875.,1852,1852,v.3,,,Frederika Bremer's works
wu.89099912081_1,wu.89099912081,82734,random,"Bremer, Fredrika",,London;Bohn;1852-1875.,1852,1852,v.3,,,Frederika Bremer's works
njp.32101066110824_0,njp.32101066110824,45401,random,"Bremer, Fredrika",,"London;Longman, Brown, Green, and Longmans;1843.",1843,1843,v. 2,,,The president's daughters;
njp.32101066110824_1,njp.32101066110824,44423,random,"Bremer, Fredrika",,"London;Longman, Brown, Green, and Longmans;1843.",1843,1843,v. 2,,,The president's daughters;
mdp.39015005603967_0,mdp.39015005603967,43421,random,"Brooks, Byron Alden",,"Boston, Mass.;Arena publishing company;1893.",1893,1893,,,,Earth revisited
mdp.39015005603967_1,mdp.39015005603967,43778,random,"Brooks, Byron Alden",,"Boston, Mass.;Arena publishing company;1893.",1893,1893,,,,Earth revisited
uc1.b274118,uc1.b274118,19285,random,"Brooks, Sarah Merriam",,"San Francisco;C.A. Murdock & co., printers.;1894.",1894,1894,,Voyages to the Pacific coast,,Across the Isthmus to California in '52
uc1.b25499_0,uc1.b25499,36386,random,"Brown, J. Moray",,Edinburgh;W. Blackwood;1893.,1893,1893,v. 2,Hunting;India;Fishing;Great Britain,,Stray sport
uc1.b25499_1,uc1.b25499,38088,random,"Brown, J. Moray",,Edinburgh;W. Blackwood;1893.,1893,1893,v. 2,Hunting;India;Fishing;Great Britain,,Stray sport
njp.32101041607258,njp.32101041607258,32808,random,"Brown, Thomas",,London;The author;1818.,1818,1818,v.3,,,"Brighton; or, The Steyne"
nyp.33433074938766_0,nyp.33433074938766,31629,random,"Bullock, Shan F",,"London;J. Bowden [etc., etc.;1898.",1898,1898,,Irish fiction,,The charmer;
nyp.33433074938766_1,nyp.33433074938766,34193,random,"Bullock, Shan F",,"London;J. Bowden [etc., etc.;1898.",1898,1898,,Irish fiction,,The charmer;
nyp.33433074938436_0,nyp.33433074938436,48666,random,"Bury, Charlotte Campbell",,Philadelphia;E.L. Carey and A. Hart;1838.,1838,1838,v. 2,,,Ellen Glanville
nyp.33433074938436_1,nyp.33433074938436,47778,random,"Bury, Charlotte Campbell",,Philadelphia;E.L. Carey and A. Hart;1838.,1838,1838,v. 2,,,Ellen Glanville
njp.32101054938103_1,njp.32101054938103,70281,random,C anonymous,,New York;London;The Colonial Press;c1900,1900,1900,vol.19-20,,,The World's great classics
nyp.33433074851910,nyp.33433074851910,44335,random,"Cable, George Washington",,New York;C. Scribner's sons;1899.,1899,1899,,,,Strong hearts
nyp.33433074938485,nyp.33433074938485,32475,random,"Caird, Mona",,New York;Henry Holt and Company;1891.,1891,1891,,,,A romance of the moors
nyp.33433011064833,nyp.33433011064833,38894,random,"Caldwell, Frank",,"New York;Dodd, Mead;1910.",1910,1910,,Wolves;Dogs,,Wolf the storm leader
uiuo.ark+=13960=t24b3bw6v,uiuo.ark+=13960=t24b3bw6v,49997,random,"Carter, Mary Elizabeth",,London;R. Bentley;1889.,1889,1889,v.3,,,Mrs. Severn
uc1.32106014703109,uc1.32106014703109,32868,random,"Cather, Willa",,Boston;New York;H. Mifflin;1912.,1912,1912,,,,Alexander's bridge
uc2.ark+=13960=t8hd7s722_1,uc2.ark+=13960=t8hd7s722,68221,random,"Charles, Elizabeth Rundle",,New York;M.W. Dodd;1866.,1866,1866,,"Wesley, John;1703-1791;Whitefield, George;Wesley, Charles;1707-1788;Fiction;1714-1770",,Diary of Kitty Trevylyan
uc2.ark+=13960=t8hd7s722_0,uc2.ark+=13960=t8hd7s722,68941,random,"Charles, Elizabeth Rundle",,New York;M.W. Dodd;1866.,1866,1866,,"Wesley, John;1703-1791;Whitefield, George;Wesley, Charles;1707-1788;Fiction;1714-1770",,Diary of Kitty Trevylyan
nyp.33433074810668,nyp.33433074810668,49803,random,"Chase, Jessie Anderson",,Chicago;A.C. McClurg & Company;1898.,1898,1898,,,,Three freshmen;
mdp.39015063702545,mdp.39015063702545,45186,random,"Chiari, Pietro",,London;Printed by B. M'Millan;1817.,1817,1817,,,,The prize in the lottery;
uc1.b3548194_0,uc1.b3548194,36419,random,"Conrad, Joseph",1857-1924.,London|J.M. Dent|1923-1925.,1923,1923,v.4,,NotFiction,The works of Joseph Conrad.
uc1.b3548194_1,uc1.b3548194,39795,random,"Conrad, Joseph",1857-1924.,London|J.M. Dent|1923-1925.,1923,1923,v.4,,NotFiction,The works of Joseph Conrad.
mdp.39076002630338,mdp.39076002630338,12496,random,"Coolidge, Susan",,"Boston;Little, Brown, and Co.;c1901;(Cambridge;John Wilson and Son)",1901,1901,,Conduct of life;Children;Juvenile fiction,,Uncle and aunt
mdp.39015071593878_2,mdp.39015071593878,69469,random,"Cooper, James Fenimore",,New York;W. A. Townsend;1860.,1860,1860,,History;War of 1812;Michigan;Indians of North America;Kalamazoo Valley (Mich.);United States;Fiction,,"The oak openings, or, The bee hunter"
njp.32101068581915_0,njp.32101068581915,98641,random,"Cooper, James Fenimore",,"London;R. Bentley;etc., etc.] 1852.",1852,1852,,,,"Homeward bound; or, The chase"
mdp.39015071593878_0,mdp.39015071593878,67344,random,"Cooper, James Fenimore",,New York;W. A. Townsend;1860.,1860,1860,,History;War of 1812;Michigan;Indians of North America;Kalamazoo Valley (Mich.);United States;Fiction,,"The oak openings, or, The bee hunter"
njp.32101068581915_1,njp.32101068581915,94136,random,"Cooper, James Fenimore",,"London;R. Bentley;etc., etc.] 1852.",1852,1852,,,,"Homeward bound; or, The chase"
uc2.ark+=13960=t3cz33528_2,uc2.ark+=13960=t3cz33528,59181,random,"Cooper, James Fenimore",,New York;and London;G. P. Putnam's sons;1896.,1896,1849,v.20,,,The works of James Fenimore Cooper
njp.32101068581915_2,njp.32101068581915,98829,random,"Cooper, James Fenimore",,"London;R. Bentley;etc., etc.] 1852.",1852,1852,,,,"Homeward bound; or, The chase"
njp.32101068581915_3,njp.32101068581915,82596,random,"Cooper, James Fenimore",,"London;R. Bentley;etc., etc.] 1852.",1852,1852,,,,"Homeward bound; or, The chase"
uc2.ark+=13960=t3cz33528_1,uc2.ark+=13960=t3cz33528,59896,random,"Cooper, James Fenimore",,New York;and London;G. P. Putnam's sons;1896.,1896,1849,v.20,,,The works of James Fenimore Cooper
hvd.32044097914022_0,hvd.32044097914022,56799,random,"Cooper, James Fenimore",,"Philadelphia;Carey, Lea and Carey;1827.",1827,1827,v.2,,,"The pioneers, or the sources of the Susquehanna"
uc2.ark+=13960=t3cz33528_0,uc2.ark+=13960=t3cz33528,60651,random,"Cooper, James Fenimore",,New York;and London;G. P. Putnam's sons;1896.,1896,1849,v.20,,,The works of James Fenimore Cooper
mdp.39015071593878_1,mdp.39015071593878,69000,random,"Cooper, James Fenimore",,New York;W. A. Townsend;1860.,1860,1860,,History;War of 1812;Michigan;Indians of North America;Kalamazoo Valley (Mich.);United States;Fiction,,"The oak openings, or, The bee hunter"
hvd.32044097914022_1,hvd.32044097914022,56328,random,"Cooper, James Fenimore",,"Philadelphia;Carey, Lea and Carey;1827.",1827,1827,v.2,,,"The pioneers, or the sources of the Susquehanna"
njp.32101064919044,njp.32101064919044,52381,random,"Craik, Georgiana M",,London;Richard Bentley and Son;1891.,1891,1891,vol.3,,,Patience Holt
uc2.ark+=13960=t4qj7d715_1,uc2.ark+=13960=t4qj7d715,46420,random,"Crockett, S. R",,London;Hodder & Stoughton;1908.,1908,1908,,,,Princess penniless
uc2.ark+=13960=t4qj7d715_2,uc2.ark+=13960=t4qj7d715,45799,random,"Crockett, S. R",,London;Hodder & Stoughton;1908.,1908,1908,,,,Princess penniless
uc2.ark+=13960=t4qj7d715_0,uc2.ark+=13960=t4qj7d715,46843,random,"Crockett, S. R",,London;Hodder & Stoughton;1908.,1908,1908,,,,Princess penniless
hvd.32044004468302_0,hvd.32044004468302,38157,random,"Croker, Marianne Nicholson",,"London;Fisher, son, and Jackson;1832.",1832,1832,,,,The adventures of Barney Mahoney
hvd.32044004468302_1,hvd.32044004468302,37123,random,"Croker, Marianne Nicholson",,"London;Fisher, son, and Jackson;1832.",1832,1832,,,,The adventures of Barney Mahoney
uc1.b3324205_1,uc1.b3324205,66488,random,"Cullum, Ridgwell",,New York;A. L. Burt;c1913,1913,1913,,,,The night-riders;
uc2.ark+=13960=t74t6j07h_1,uc2.ark+=13960=t74t6j07h,59040,random,"Cullum, Ridgwell",,New York;A.L. Burt;1903,1903,1903,,,,The story of the Foss River ranch
uc2.ark+=13960=t74t6j07h_0,uc2.ark+=13960=t74t6j07h,59185,random,"Cullum, Ridgwell",,New York;A.L. Burt;1903,1903,1903,,,,The story of the Foss River ranch
uc1.b3324205_0,uc1.b3324205,67712,random,"Cullum, Ridgwell",,New York;A. L. Burt;c1913,1913,1913,,,,The night-riders;
nyp.33433074840467,nyp.33433074840467,39564,random,"Dale, Mary",,New York;The Bookery Publishing Co.;c1912.,1912,1912,,American fiction,,Bottled sunshine
uiuo.ark+=13960=t86h4x29z,uiuo.ark+=13960=t86h4x29z,50116,random,"Dalrymple, J. Elphinstone",,London;Colburn;1851.,1851,1851,v.2,,,The Livingstones
nyp.33433074951751_0,nyp.33433074951751,34287,random,"Dasent, George Webbe",,London;Chapman & Hall;1875.,1875,1875,v. 1,Vikings;Fiction,,The vikings of the Baltic;
nyp.33433074951751_1,nyp.33433074951751,33490,random,"Dasent, George Webbe",,London;Chapman & Hall;1875.,1875,1875,v. 1,Vikings;Fiction,,The vikings of the Baltic;
uiuo.ark+=13960=t5s762w4d,uiuo.ark+=13960=t5s762w4d,47143,random,"Davenport, Selina",,London;Printed at the Minerva Press for A. K. Newman and Co. Leadenhall-Street;1818.,1818,1818,v.2,,,An angel's form and a devil's heart
nyp.33433074811625_1,nyp.33433074811625,62141,random,"DeLand, Charles Edmund",,"Boston;Richard G. Badger;c1919;([Boston, U.S.A.;The Gorham Press)",1919,1919,,,,"The psychic trio, or, Nations reconciled"
nyp.33433074811625_0,nyp.33433074811625,62304,random,"DeLand, Charles Edmund",,"Boston;Richard G. Badger;c1919;([Boston, U.S.A.;The Gorham Press)",1919,1919,,,,"The psychic trio, or, Nations reconciled"
nyp.33433074811625_2,nyp.33433074811625,59317,random,"DeLand, Charles Edmund",,"Boston;Richard G. Badger;c1919;([Boston, U.S.A.;The Gorham Press)",1919,1919,,,,"The psychic trio, or, Nations reconciled"
uiuo.ark+=13960=t66403g7k,uiuo.ark+=13960=t66403g7k,56651,random,"Deccan, Hilary",,London;Hurst and Blackett;1892.,1892,1892,v.3,,,Light in the offing
uc2.ark+=13960=t6445k297_3,uc2.ark+=13960=t6445k297,75674,random,"Dehan, Richard",,New York;A. L. Burt;c1910.,1910,1910,,,,One braver thing
uc2.ark+=13960=t6445k297_1,uc2.ark+=13960=t6445k297,75320,random,"Dehan, Richard",,New York;A. L. Burt;c1910.,1910,1910,,,,One braver thing
uc2.ark+=13960=t6445k297_0,uc2.ark+=13960=t6445k297,76687,random,"Dehan, Richard",,New York;A. L. Burt;c1910.,1910,1910,,,,One braver thing
uc2.ark+=13960=t6445k297_2,uc2.ark+=13960=t6445k297,75652,random,"Dehan, Richard",,New York;A. L. Burt;c1910.,1910,1910,,,,One braver thing
uc2.ark+=13960=t3125rf7t_0,uc2.ark+=13960=t3125rf7t,52075,random,"Dell, Floyd",,New York;A. A. Knopf;1921.,1921,1921,,,,The briary-bush
uc2.ark+=13960=t3125rf7t_1,uc2.ark+=13960=t3125rf7t,51325,random,"Dell, Floyd",,New York;A. A. Knopf;1921.,1921,1921,,,,The briary-bush
uc2.ark+=13960=t3125rf7t_2,uc2.ark+=13960=t3125rf7t,50986,random,"Dell, Floyd",,New York;A. A. Knopf;1921.,1921,1921,,,,The briary-bush
uc2.ark+=13960=t1bk1bq2x,uc2.ark+=13960=t1bk1bq2x,35190,random,"Deloney, Thomas",,London;W. Pickering;1827.,1827,1827,,,,The history of Thomas of Reading;
uc1.b4456972_0,uc1.b4456972,107690,random,"Dickens, Charles",,"Chicago;New York;Belford, Clarke;between 1883 and 1892",1883,1841,v.2,,,Dickens' works
uc1.b4456972_1,uc1.b4456972,107003,random,"Dickens, Charles",,"Chicago;New York;Belford, Clarke;between 1883 and 1892",1883,1841,v.2,,,Dickens' works
uc1.b4456972_2,uc1.b4456972,105517,random,"Dickens, Charles",,"Chicago;New York;Belford, Clarke;between 1883 and 1892",1883,1841,v.2,,,Dickens' works
